Animal,Corte,Grupo,Region,Area,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
CS4,2,CS,CA3,542,43.74,30.351,43.74,30.351,150.853,39.085,17.656,22.211,0.299,2.214,0.452,0.622
CS4,2,CS,CA3,1345,53.526,63.779,53.526,63.779,585.838,74.999,22.834,44.213,0.049,3.285,0.304,0.316
CS4,2,CS,CA3,415,20.293,25.245,20.293,25.245,156.652,35.136,15.038,127.168,0.213,2.336,0.428,0.618
CS4,2,CS,CA3,1339,60.053,50.766,60.053,50.766,480.884,68.937,24.731,157.326,0.073,2.787,0.359,0.294
CS4,2,CS,CA3,1850,43.568,44.459,43.568,44.459,425.387,53.594,43.95,87.674,0.128,1.219,0.82,0.558
CS4,2,CS,CA3,967,28.903,39.148,28.903,39.148,185.966,38.567,31.924,60.664,0.351,1.208,0.828,0.73
CS4,2,CS,CA3,817,34.041,31.729,34.041,31.729,272.291,35.737,29.108,51.883,0.138,1.228,0.815,0.523
CS4,2,CS,CA3,1505,63.584,41.937,63.584,41.937,555.897,71.543,26.784,17.802,0.061,2.671,0.374,0.32
CS4,2,CS,CA3,1097,52.987,39.775,52.987,39.775,360.032,55.13,25.336,33.874,0.106,2.176,0.46,0.384
CS4,2,CS,CA3,926,47.848,26.634,47.848,26.634,333.304,55.262,21.335,6.236,0.105,2.59,0.386,0.45
CS4,2,CS,CA3,2479,62.852,37.942,62.852,37.942,476.6,76.645,41.181,14.886,0.137,1.861,0.537,0.585
CS4,2,CS,CA3,1688,55.143,44.424,55.143,44.424,294.475,56.166,38.265,146.379,0.245,1.468,0.681,0.619
CS4,2,CS,CA3,1291,35.096,29.723,35.096,29.723,344.174,42.982,38.243,17.88,0.137,1.124,0.89,0.65
CS4,2,CS,CA3,1710,71.601,50.905,71.601,50.905,463.713,52.368,41.575,163.626,0.1,1.26,0.794,0.401
CS4,3,CS,CA3,668,24.115,37.482,24.115,37.482,147.338,52.003,16.355,111.782,0.387,3.18,0.315,0.714
CS4,3,CS,CA3,789,25.86,35.456,25.86,35.456,144.125,42.587,23.589,119.709,0.477,1.805,0.554,0.759
CS4,3,CS,CA3,1489,71.299,45.626,71.299,45.626,509.997,82.463,22.99,39.386,0.072,3.587,0.279,0.361
CS4,3,CS,CA3,942,31.697,58.187,31.697,58.187,302.191,54.723,21.918,98.362,0.13,2.497,0.401,0.509
CS4,3,CS,CA3,605,32.925,38.236,32.925,38.236,138.51,33.802,22.789,164.995,0.396,1.483,0.674,0.772
CS4,3,CS,CA3,616,37.857,27.706,37.857,27.706,126.368,40.862,19.194,18.751,0.485,2.129,0.47,0.836
CS4,3,CS,CA3,1790,32.469,63.317,32.469,63.317,465.286,87.592,26.019,92.135,0.104,3.366,0.297,0.421
CS4,3,CS,CA3,1328,40.478,36.461,40.478,36.461,322.375,72.21,23.416,139.955,0.161,3.084,0.324,0.532
CS4,3,CS,CA3,842,26.152,21.355,26.152,21.355,158.409,41.879,25.599,172.782,0.422,1.636,0.611,0.711
CS4,3,CS,CA3,536,31.817,25.076,31.817,25.076,136.267,43.966,15.522,1.297,0.363,2.832,0.353,0.671
CS4,3,CS,CA3,552,31.475,28.139,31.475,28.139,179.38,35.766,19.651,61.133,0.216,1.82,0.549,0.554
CS4,3,CS,CA3,1033,36.049,34.125,36.049,34.125,239.321,43.601,30.166,50.709,0.227,1.445,0.692,0.545
CS4,3,CS,CA3,2575,55.877,73.641,55.877,73.641,628.808,65.958,49.707,79.585,0.082,1.327,0.754,0.443
